Type,Locus,Strand,Left,Right,Length,CN_HMM,CN_boot,Lowerbound,Upperbound
IG,,1,517515,518323,809,1,0.9611622867,0.7949773273,1.1630200978
CDS,SATW20_04890,-1,518324,518860,537,1,0.9803855324,0.8484866049,1.128720335
IG,,1,518861,519252,392,1,1.1344461161,1.0108681078,1.2633626943
CDS,SATW20_04900,-1,519253,519957,705,1,1.1461860269,1.0828522976,1.2126401008
IG,,1,519958,520355,398,1,1.0751286721,0.9564937841,1.2135360414
CDS,SATW20_04910,-1,520356,520628,273,1,1.0473236202,0.9793557157,1.1678121783
IG,,1,520629,520888,260,1,1.1163213415,1.0009818671,1.2110644812
CDS,SATW20_04920,-1,520889,521041,153,1,1.0957250068,1.013339668,1.2110644812
IG,,1,521042,521451,410,1,1.0232259086,0.9515012326,1.0899580331
CDS,SATW20_04930,-1,521452,521571,120,1,0.9515506638,0.9144772613,0.9886240663
CDS,SATW20_04940,-1,521565,521924,360,1,0.9663800248,0.8723371605,1.0603240267
IG,,1,521925,521942,18,1,0.9515506638,0.0247156017,0.9515506638
CDS,SATW20_04950,-1,521943,522788,846,1,0.9446852189,0.8815093949,1.0243793034
IG,,1,522789,523259,471,1,1.013339668,0.8978766155,1.1080828076
CDS,SATW20_04960,1,523260,523940,681,1,1.0782181223,1.0194876739,1.1369176762
IG,,1,523941,524225,285,1,0.9917135165,0.8125254045,1.1308005648
CDS,SATW20_04970,1,524226,524921,696,1,0.9577295642,0.8772648336,1.0535179679
IG,,1,524922,525211,290,1,0.9700873651,0.8217937551,1.1307387758
CDS,SATW20_04980,1,525212,526270,1059,1,1.0818692907,1.0031950369,1.1639026195
IG,,1,526271,526634,364,1,1.0479415103,0.9515506638,1.1591617177
CDS,SATW20_04990,1,526635,527561,927,1,1.0714213319,0.9613627577,1.1789589147
IG,,1,527562,527924,363,1,1.0998442738,0.9910956265,1.2456663235
CDS,SATW20_05010,1,527925,528629,705,1,1.0704944968,0.9978769697,1.1601657891
IG,,1,528630,529074,445,1,0.9861525061,0.8675176182,1.0850149128
CDS,SATW20_05020,1,529075,529770,696,1,1.0256974688,0.9530953889,1.1075678993
IG,,1,529771,530190,420,1,0.9787378256,0.8848185393,1.0776002323
CDS,SATW20_05030,1,530191,530886,696,1,1.0921206482,0.9839435492,1.2033717502
IG,,1,530887,531228,342,1,1.0825433526,0.993418893,1.154243313
CDS,SATW20_05040,1,531229,531927,699,1,1.0164291182,0.9654377425,1.0674204938
IG,,1,531928,532306,379,1,1.0776002323,0.9910956265,1.1814057592
CDS,SATW20_05050,1,532307,533005,699,1,1.2048855808,1.0905759231,1.311471613
IG,,1,533006,533370,365,1,1.2913901866,1.1678121783,1.4149681949
CDS,SATW20_05060,1,533371,534054,684,1,1.0998442738,1.0287560245,1.1647227281
IG,,1,534055,534133,79,1,1.0380552696,0.9886240663,1.0874864729
CDS,SATW20_05070,1,534134,534265,132,1,1.0627708713,1.0380552696,1.0874864729
IG,,1,534266,534317,52,1,0.9700873651,0.9021194605,1.0380552696
CDS,SATW20_05080,1,534318,535874,1557,1,0.9384205004,0.8627212467,1.021094188
CDS,SATW20_05090,1,535867,537078,1212,1,1.058968471,0.9886240663,1.117905675
IG,,1,537079,537460,382,1,1.1295029958,0.981135239,1.2333085227
CDS,SATW20_05100,1,537461,538138,678,1,1.118380975,1.0210478462,1.2157449983
IG,,1,538139,538159,21,1,1.0874864729,0.0123578008,1.0874864729
CDS,SATW20_05110,1,538160,539668,1509,1,0.977038628,0.921413077,1.0311271775
IG,,1,539669,539771,103,1,0.9762662655,0.8403304564,1.1122020746
CDS,SATW20_05120,-1,539772,540080,309,1,1.1461860269,1.0936653733,1.2326906327
IG,,1,540081,540417,337,1,1.1171451949,0.9317040357,1.2876828464
CDS,SATW20_05130,1,540418,541233,816,1,1.1602601889,1.0888321001,1.2412861697
IG,,1,541234,541415,182,1,1.0916057399,1.0751286721,1.1122020746
CDS,SATW20_05140,1,541416,542228,813,1,1.1067097187,1.017445204,1.2234360129
CDS,SATW20_05150,1,542221,543546,1326,1,0.9559641641,0.9153599614,0.9965771938
CDS,SATW20_05160,1,543546,543866,321,1,0.8835827593,0.8156148547,0.9330139626
IG,,1,543867,543884,18,1,0.790899253,0.0247156017,0.790899253
CDS,SATW20_05170,1,543885,544199,315,1,0.9299245124,0.8125254045,1.0380552696
IG,,1,544200,544488,289,1,0.939192863,0.8125254045,1.0411447198
CDS,SATW20_05180,-1,544489,544683,195,1,0.9185965283,0.9021194605,0.939192863
IG,,1,544684,544867,184,1,0.8897616597,0.7785414522,0.9886240663
CDS,SATW20_05190,1,544868,546070,1203,1,0.9353904627,0.8555210454,1.0115525398
IG,,1,546071,546338,268,1,1.028786919,0.9608190144,1.1122020746
CDS,SATW20_05200,1,546339,546467,129,1,1.223422282,1.0380552696,1.4087892945
IG,,1,546468,546728,261,1,1.207975031,1.0318763692,1.3933420434
CDS,SATW20_05201,-1,546729,546791,63,1,1.3470002903,0.0123578008,1.3347660675
IG,,1,546792,546854,63,1,1.3222846887,1.297569087,1.3470002903
CDS,SATW20_05202,-1,546855,546923,69,1,1.19252778,1.0874864729,1.297569087
IG,,1,546924,546974,51,1,1.0874864729,0.0123578008,1.0874864729
CDS,SATW20_05203,-1,546975,547040,66,1,1.0874864729,1.0874864729,1.0874864729
IG,,1,547041,547071,31,1,1.0874864729,0.0245920236,1.0874864729
CDS,SATW20_05204,-1,547072,547137,66,1,1.1369176762,1.0874864729,1.1863488796
IG,,1,547138,547657,520,1,1.1307387758,1.0607112378,1.1946080098
CDS,SATW20_05210,1,547658,549142,1485,1,0.9847622535,0.9245102509,1.0767351862
IG,,1,549143,549154,12,1,1.0256974688,0.0245920236,1.013339668
CDS,SATW20_05220,1,549155,551860,2706,1,0.9475785135,0.8963774966,0.9912809935
IG,,1,551861,552021,161,1,0.9103579944,0.9021194605,0.9144772613
CDS,SATW20_05230,1,552022,552384,363,1,0.8774038588,0.8372410061,0.9113878111
IG,,1,552385,552612,228,1,0.9978924169,0.8681355082,1.1739910787
CDS,SATW20_05240,-1,552613,553029,417,1,0.9515506638,0.8230295352,1.1198391955
IG,,1,553030,553066,37,1,0.8156148547,0.0123578008,0.8156148547
CDS,SATW20_05250,1,553067,553741,675,1,0.9361034128,0.8773884116,0.9917289638
IG,,1,553742,553777,36,1,0.9515506638,0.0247156017,0.939192863
CDS,SATW20_05260,1,553778,554512,735,1,1.0188320239,0.9377923122,1.0820215788
IG,,1,554513,554964,452,1,1.0429983899,0.8650213424,1.1739910787
CDS,SATW20_05270,1,554965,556305,1341,1,0.9910956265,0.9152928762,1.053708484
IG,,1,556306,556521,216,1,0.9762662655,0.9144772613,1.013339668
CDS,SATW20_05280,1,556522,557436,915,1,0.9293066223,0.8637979201,0.9960758202
CDS,SATW20_05290,1,557420,558562,1143,1,1.0771883056,0.9659577999,1.1606343557
IG,,1,558563,558852,290,1,0.9175667115,0.8341515559,0.9793557157
CDS,SATW20_05300,1,558853,559881,1029,1,1.0021053036,0.964998198,1.0470539955
IG,,1,559882,559884,3,1,0.9886240663,0.0123578008,0.9886240663
CDS,SATW20_05310,1,559885,560544,660,1,0.8774038588,0.797047259,0.9484766609
IG,,1,560545,560580,36,1,0.7538258506,0.0245920236,0.7538258506
CDS,SATW20_05320,1,560581,561423,843,1,0.9293066223,0.8476833479,0.9997708026
IG,,1,561424,561754,331,1,1.0009818671,0.9669670203,1.0535025207
CDS,SATW20_05330,1,561755,562759,1005,1,0.9863771934,0.9054673011,1.0628832149
IG,,1,562760,562943,184,1,0.9597891977,0.8526882572,1.0627708713
CDS,SATW20_05340,-1,562944,563213,270,1,0.9608190144,0.865046058,1.0535025207
IG,,1,563214,563361,148,1,0.9700873651,0.9021194605,1.0380552696
CDS,SATW20_05350,1,563362,563757,396,1,1.0182827883,0.8649471956,1.1319745559
CDS,SATW20_05360,1,563747,564232,486,1,0.9433121299,0.8155942584,1.0730690386
IG,,1,564233,564400,168,1,0.8156148547,0.7661836514,0.865046058
CDS,SATW20_05370,-1,564401,565183,783,1,0.96854264,0.8789331367,1.065891216
CDS,SATW20_05380,-1,565180,566292,1113,1,1.0102502178,0.9360828164,1.0957250068
IG,,1,566293,566412,120,1,1.079247939,0.9515506638,1.1863488796
CDS,SATW20_05390,-1,566413,567297,885,1,1.0009818671,0.9007463715,1.1136300871
IG,,1,567298,567477,180,1,0.8444497233,0.7538258506,0.9021194605
CDS,SATW20_05400,1,567478,571977,4500,1,0.9687441258,0.9249384084,1.0085120662
IG,,1,571978,571994,17,1,0.9762662655,0.0123578008,0.9640320427
CDS,SATW20_05410,1,571995,573458,1464,1,1.0009818671,0.896705199,1.147916119
IG,,1,573459,573726,268,1,0.9762662655,0.8743144086,1.1091126244
tRNA,SATW20_t030,1,573727,573816,90,1,1.0318763692,0.9021194605,1.1616332779
IG,,1,573817,574289,473,1,0.879875419,0.7859067015,0.9515506638
CDS,SATW20_05420,1,574290,575717,1428,1,0.9600466519,0.8974852852,1.0241527437
IG,,1,575718,575780,63,1,1.1739910787,0.0123578008,1.1616332779
CDS,SATW20_05430,1,575781,577421,1641,1,1.0394283586,0.9961279976,1.0806553553
IG,,1,577422,577445,24,1,0.9762662655,0.0245920236,0.9639084646
CDS,SATW20_05440,1,577446,578174,729,1,1.0813075725,0.983989891,1.2187881067
IG,,1,578175,578812,638,1,1.0411447198,0.9484612136,1.1477616465
CDS,SATW20_05450,1,578813,579337,525,1,1.0112800345,0.9247136397,1.1060231742
IG,,1,579338,579405,68,1,1.04423417,0.9639084646,1.1245598754
CDS,SATW20_05460,1,579406,581103,1698,1,1.0538457929,0.9886240663,1.1238733309
IG,,1,581104,581192,89,1,1.0998442738,0.0247156017,1.0998442738
CDS,SATW20_05470,1,581193,581510,318,1,0.8601029377,0.7686552116,1.0062462903
IG,,1,581511,581516,6,1,0.865046058,0.0123578008,0.865046058
CDS,SATW20_05480,1,581517,582113,597,1,0.8985886603,0.8262072554,0.9851109201
IG,,1,582114,582973,860,1,0.9268350622,0.8801500368,0.9803992633
rRNA,SATW20_r010,1,582974,584513,1540,1,0.9704508298,0.8599502825,1.1152624476
IG,,1,584514,584886,373,1,0.9824451659,0.760004751,1.19252778
rRNA,SATW20_r020,1,584887,587807,2921,1,0.8032570539,0.7310835106,0.8825941352
IG,,1,587808,587881,74,1,0.5437432365,0.0123578008,0.5437432365
rRNA,SATW20_r030,1,587882,587995,114,1,0.760004751,0.5437432365,0.9762662655
IG,,1,587996,588875,880,1,0.9799736057,0.835325547,1.0973850714
CDS,SATW20_05490,1,588876,590213,1338,1,0.9606130511,0.9152928762,1.0108845849
IG,,1,590214,590214,1,1,0.8774038588,0.0123578008,0.8774038588
CDS,SATW20_05500,1,590215,590832,618,1,1.0362898695,0.8932924599,1.1740793487
IG,,1,590833,590859,27,1,1.2852112862,0.0247156017,1.2604956845
CDS,SATW20_05510,1,590860,591189,330,1,1.0318763692,0.9144772613,1.2172433816
IG,,1,591190,591402,213,1,1.0720392219,0.8774038588,1.3253741389
CDS,SATW20_05520,1,591403,592329,927,1,1.0726571119,0.9910832687,1.1690850318
CDS,SATW20_05530,1,592330,593133,804,1,0.9680277316,0.9021057296,1.0312035556
IG,,1,593134,593149,16,1,1.0380552696,0.0245920236,1.0380552696
CDS,SATW20_05540,1,593150,593497,348,1,0.9948029667,0.9422823132,1.0473236202
IG,,1,593498,593770,273,1,1.0380552696,0.9762662655,1.0813075725
CDS,SATW20_05550,1,593771,594496,726,1,0.9793557157,0.9144618141,1.0473390675
CDS,SATW20_05560,1,594489,594737,249,1,0.8928511099,0.8372410061,0.9762662655
IG,,1,594738,594738,1,1,0.865046058,0.0123578008,0.865046058
CDS,SATW20_05570,1,594739,595578,840,1,0.9474313969,0.8677647742,1.0394283586
IG,,1,595579,595862,284,1,1.0226080186,0.9484612136,1.1246216644
CDS,SATW20_05580,1,595863,597836,1974,1,1.0256974688,0.9844989147,1.0698442411
IG,,1,597837,597866,30,1,0.9639084646,0.0245920236,0.9639084646
CDS,SATW20_05590,1,597867,598640,774,1,0.9611622867,0.9061975348,1.038137655
IG,,1,598641,598806,166,1,0.8897616597,0.8279726555,0.939192863
CDS,SATW20_05600,1,598807,599343,537,1,0.935073596,0.8135346249,1.0360986178
IG,,1,599344,599353,10,1,0.9886240663,0.0123578008,0.9886240663
CDS,SATW20_05610,1,599354,600247,894,1,1.013339668,0.9044798005,1.1493001927
IG,,1,600248,600346,99,1,1.1060231742,1.0009818671,1.2110644812
CDS,SATW20_05620,1,600347,600610,264,1,1.0195185684,0.9330139626,1.1554543775
IG,,1,600611,600919,309,1,0.9639084646,0.8403304564,1.0380552696
CDS,SATW20_05630,1,600920,601768,849,1,0.9584161087,0.8910386324,1.0229650217
IG,,1,601769,601814,46,1,1.0380552696,0.939192863,1.1369176762
CDS,SATW20_05640,1,601815,602606,792,1,0.9886240663,0.9117310834,1.0641439603
IG,,1,602607,602622,16,1,1.1616332779,0.0123578008,1.1492754771
CDS,SATW20_05650,1,602623,603003,381,1,1.0825433526,1.0083471164,1.1419102278
IG,,1,603004,603074,71,1,1.0751286721,0.0247156017,1.0751286721
CDS,SATW20_05660,1,603075,603377,303,1,1.1709016285,1.0843970227,1.2666745849
IG,,1,603378,603720,343,1,1.1912919999,1.1220883153,1.2852112862
CDS,SATW20_05670,1,603721,605073,1353,1,1.0601227711,0.9603600104,1.1705838565
IG,,1,605074,605219,146,1,0.9721469985,0.865046058,1.1245598754
CDS,SATW20_05680,1,605220,606185,966,1,1.0009818671,0.9330016048,1.0813199303
IG,,1,606186,606334,149,1,0.9721469985,0.8032570539,1.1245598754
CDS,SATW20_05690,1,606335,606988,654,1,1.1051404741,1.0150874141,1.1863841876
IG,,1,606989,607298,310,1,1.1245598754,1.0318763692,1.1987066804
CDS,SATW20_05700,1,607299,607871,573,1,1.073363272,1.0009818671,1.1563723856
CDS,SATW20_05710,1,607871,611377,3507,1,1.0020116839,0.960812149,1.0452708522
CDS,SATW20_05720,1,611367,612893,1527,1,0.9724044527,0.9043593119,1.0411601671
CDS,SATW20_05730,1,612893,614086,1194,1,1.1492754771,1.0618202712,1.237700295
CDS,SATW20_05740,1,614083,614346,264,1,1.0998442738,0.939192863,1.2357800829
IG,,1,614347,614363,17,1,1.0874864729,0.0123578008,1.0751286721
CDS,SATW20_05750,1,614364,614756,393,1,1.1196167551,1.0478426479,1.1764626389
IG,,1,614757,614860,104,1,1.0318763692,0.8897616597,1.1739910787
CDS,SATW20_05760,1,614861,615262,402,1,0.9960387468,0.9070625808,1.0899827487
IG,,1,615263,615441,179,1,0.9927433332,0.8403304564,1.223422282
CDS,SATW20_05770,1,615442,616737,1296,1,1.0504130704,0.9833278659,1.132583619
IG,,1,616738,616741,4,1,1.0998442738,0.0245920236,1.0998442738
CDS,SATW20_05780,1,616742,617281,540,1,1.0009818671,0.9433121299,1.0504130704
IG,,1,617282,617537,256,1,1.0226080186,0.8990300103,1.19252778
CDS,SATW20_05790,1,617538,619631,2094,1,1.0094076404,0.9358000849,1.0852564516
IG,,1,619632,619859,228,1,1.1245598754,1.0009818671,1.2357800829
CDS,SATW20_05800,1,619860,620741,882,1,1.0627708713,1.0046768496,1.1270437934
IG,,1,620742,620919,178,1,1.0421745366,0.9144772613,1.1739910787
CDS,SATW20_05810,1,620920,621852,933,1,0.9787378256,0.9231153641,1.0417749677
IG,,1,621853,622067,215,1,0.9021194605,0.7414680497,1.0256974688
CDS,SATW20_05820,1,622068,622877,810,1,1.0023549561,0.9007326406,1.0888732928
CDS,SATW20_05830,1,622855,623220,366,1,1.0429983899,0.9342497427,1.3223094043
CDS,SATW20_05840,1,623217,623693,477,1,1.0479415103,0.9416149919,1.1617074247
IG,,1,623694,624231,538,1,1.029228269,0.9233042619,1.133457492
CDS,SATW20_05850,1,624232,625719,1488,1,1.089031198,0.993250518,1.1824947904
IG,,1,625720,626278,559,1,0.9185965283,0.7929588865,1.0607112378
rRNA,SATW20_r040,1,626279,626392,114,1,0.9330139626,0.7785414522,1.0874864729
IG,,1,626393,626403,11,1,1.1369176762,1.0874864729,1.1863488796
tRNA,SATW20_t040,1,626404,626476,73,1,1.1863488796,0.0123578008,1.1863488796
IG,,1,626477,626495,19,1,1.1863488796,0.0123578008,1.1863488796
tRNA,SATW20_t050,1,626496,626568,73,1,1.0998442738,1.013339668,1.1863488796
IG,,1,626569,626577,9,1,1.013339668,0.0247156017,1.013339668
tRNA,SATW20_t060,1,626578,626650,73,1,0.7847203526,0.5561010373,1.013339668
IG,,1,626651,626683,33,1,0.5561010373,0.0123578008,0.5561010373
tRNA,SATW20_t070,1,626684,626755,72,1,0.7414680497,0.5561010373,0.9268350622
IG,,1,626756,626765,10,1,0.9268350622,0.0123578008,0.9268350622
tRNA,SATW20_t080,1,626766,626851,86,1,0.8465093568,0.7661836514,0.9268350622
IG,,1,626852,626859,8,1,0.7661836514,0.0123578008,0.7539494286
tRNA,SATW20_t090,1,626860,626933,74,1,0.6796790456,0.5931744398,0.7661836514
IG,,1,626934,626956,23,1,0.5931744398,0.0123578008,0.5931744398
tRNA,SATW20_t100,1,626957,627030,74,1,0.8341515559,0.5931744398,1.0751286721
IG,,1,627031,627053,23,1,1.0751286721,0.0123578008,1.0751286721
tRNA,SATW20_t110,1,627054,627126,73,1,0.8774038588,0.6796790456,1.0751286721
IG,,1,627127,627259,133,1,0.6302478423,0.580816639,0.6796790456
rRNA,SATW20_r050,1,627260,628799,1540,1,0.842647544,0.7321842519,0.965468637
IG,,1,628800,628898,99,1,1.013339668,0.7538258506,1.2728534854
tRNA,SATW20_t120,1,628899,628972,74,1,0.9515506638,0.7538258506,1.1492754771
IG,,1,628973,629144,172,1,1.0174589349,0.865046058,1.1492754771
rRNA,SATW20_r060,1,629145,632065,2921,1,0.8312680691,0.7578709707,0.904179094
IG,,1,632066,632139,74,1,0.7785414522,0.6426056431,0.9144772613
rRNA,SATW20_r070,1,632140,632253,114,1,0.7723625518,0.6426056431,0.9021194605
IG,,1,632254,632776,523,1,0.9082983609,0.830032289,1.0010848488
CDS,SATW20_05860,-1,632777,634159,1383,1,1.0751286721,0.9968461231,1.1451891643
IG,,1,634160,634262,103,1,0.9577295642,0.939192863,0.9762662655
CDS,SATW20_05870,1,634263,635150,888,1,0.983680946,0.8477080635,1.0850890596
IG,,1,635151,635153,3,1,1.0751286721,0.0247156017,1.0627708713
CDS,SATW20_05880,1,635154,635714,561,1,0.8738730586,0.7802891983,0.9833278659
IG,,1,635715,635722,8,1,0.9515506638,0.0123578008,0.939192863
CDS,SATW20_05890,1,635723,635875,153,1,0.9824451659,0.9515506638,1.013339668
IG,,1,635876,635921,46,1,0.9206561617,0.8279726555,1.013339668
CDS,SATW20_05900,-1,635922,637136,1215,1,1.0114384678,0.9572447582,1.0627993893
IG,,1,637137,637293,157,1,0.9762662655,0.9762662655,0.9762662655
CDS,SATW20_05910,1,637294,637755,462,1,1.0504130704,0.939192863,1.1595736444
IG,,1,637756,637773,18,1,0.8526882572,0.0123578008,0.8526882572
CDS,SATW20_05920,1,637774,638340,567,1,1.0786594723,0.9780140116,1.1493107851
CDS,SATW20_05930,1,638330,639337,1008,1,1.0436724518,0.9661441032,1.1212569723
IG,,1,639338,639350,13,1,0.9762662655,0.0123578008,0.9639084646
CDS,SATW20_05940,1,639351,641807,2457,1,0.998605367,0.9329997036,1.0675238716
IG,,1,641808,642291,484,1,1.1838773194,1.0552326128,1.3148700082
CDS,SATW20_05950,1,642292,643656,1365,1,1.0347598561,0.9639002261,1.1039717792
IG,,1,643657,643680,24,1,1.0751286721,0.0123578008,1.0751286721
CDS,SATW20_05960,1,643681,644754,1074,1,1.083367206,1.0081802861,1.1647227281
IG,,1,644755,645310,556,1,1.1069058742,1.0362722155,1.1916450799
CDS,SATW20_05970,1,645311,646765,1455,1,1.0701855518,1.0059249875,1.1435249804
IG,,1,646766,647192,427,1,0.9639084646,0.8922332198,1.0257221844
CDS,SATW20_05980,1,647193,647834,642,1,0.8990300103,0.8217937551,0.965468637
CDS,SATW20_05990,1,647818,649218,1401,1,1.0125158146,0.953173655,1.0784982325
CDS,SATW20_06000,1,649211,649615,405,1,1.0899580331,1.0380552696,1.1616332779
IG,,1,649616,649622,7,1,1.223422282,0.0245920236,1.223422282
CDS,SATW20_06010,1,649623,650369,747,1,1.0828522976,0.9312220815,1.1925432272
CDS,SATW20_06020,1,650369,650893,525,1,0.9206561617,0.79501852,1.0442753627
IG,,1,650894,650973,80,1,1.0689497717,1.0009818671,1.1369176762
CDS,SATW20_06030,1,650974,651543,570,1,1.0362898695,0.9939026127,1.0963487815
IG,,1,651544,651657,114,1,1.0195185684,1.013339668,1.0256974688
CDS,SATW20_06040,1,651658,651801,144,1,1.0586516043,0.9762662655,1.1863488796
IG,,1,651802,651856,55,1,0.9762662655,0.0123578008,0.9762662655
CDS,SATW20_06050,1,651857,652039,183,1,1.1122020746,0.9762662655,1.2728534854
IG,,1,652040,652051,12,1,1.2728534854,0.0123578008,1.2728534854
CDS,SATW20_06060,1,652052,652600,549,1,1.0504130704,0.9639084646,1.16791516
IG,,1,652601,652780,180,1,0.9639084646,0.8156148547,1.1122020746
CDS,SATW20_06070,1,652781,653203,423,1,1.0689497717,0.9948029667,1.1369588689
IG,,1,653204,653410,207,1,1.0462938035,0.939192863,1.1987066804
CDS,SATW20_06080,1,653411,654103,693,1,0.9870793412,0.857291538,1.1137622469
IG,,1,654104,654374,271,1,0.8485689902,0.6796790456,0.939192863
CDS,SATW20_06090,1,654375,654875,501,1,0.9865644328,0.8938603303,1.0895667027
IG,,1,654876,654917,42,1,0.8959405601,0.7291102489,1.0627708713
CDS,SATW20_06100,1,654918,655286,369,1,0.9762662655,0.7291102489,1.3253741389
IG,,1,655287,655460,174,1,0.8238533886,0.6549634439,0.9268350622
CDS,SATW20_06110,1,655461,656069,609,1,0.9550814641,0.8844654593,1.0221666686
IG,,1,656070,656283,214,1,1.0421745366,1.013339668,1.0627708713
CDS,SATW20_06120,1,656284,659835,3552,1,0.9639084646,0.9168152236,1.0123777635
IG,,1,659836,659971,136,1,0.939192863,0.9144772613,0.9639084646
CDS,SATW20_06130,1,659972,663595,3624,1,1.0110017056,0.9565572431,1.0731313843
IG,,1,663596,663731,136,1,1.0009818671,0.9144772613,1.1739910787
CDS,SATW20_06140,1,663732,663986,255,1,1.1286791424,0.9144772613,1.2604956845
IG,,1,663987,664083,97,1,1.2048855808,1.1492754771,1.2604956845
CDS,SATW20_06150,1,664084,664497,414,1,1.0331121493,0.9168993903,1.1690973896
IG,,1,664498,664562,65,1,1.223422282,1.2110644812,1.2357800829
CDS,SATW20_06160,1,664563,665033,471,1,0.9165368948,0.7888396196,1.0771883056
IG,,1,665034,665155,122,1,0.865046058,0.8032570539,0.9268350622
CDS,SATW20_06170,1,665156,667237,2082,1,0.9150389795,0.8554519108,0.9796478092
IG,,1,667238,667453,216,1,0.9433121299,0.8156148547,1.1245598754
CDS,SATW20_06180,1,667454,668638,1185,1,0.8916628598,0.8403209504,0.9563131701
IG,,1,668639,668919,281,1,0.8310621057,0.6951262966,0.9577295642
CDS,SATW20_06190,-1,668920,670095,1176,1,0.8681355082,0.7723419555,0.9701903467
IG,,1,670096,670265,170,1,1.0710094052,1.0256974688,1.1492754771
CDS,SATW20_06200,1,670266,671453,1188,1,0.9800686657,0.9382137449,1.0247468687
IG,,1,671454,671718,265,1,1.0226080186,0.9917135165,1.0627708713
CDS,SATW20_06210,1,671719,672597,879,1,0.9597891977,0.8677510433,1.0462938035
IG,,1,672598,672752,155,1,1.0215782018,0.8526882572,1.1245598754
CDS,SATW20_06220,1,672753,674393,1641,1,0.9064810373,0.8286923157,0.9980814186
IG,,1,674394,674606,213,1,0.8125254045,0.7291102489,0.9422823132
CDS,SATW20_06230,1,674607,675572,966,1,0.9070625808,0.787179555,1.0208284953
IG,,1,675573,675906,334,1,1.0429983899,0.9490791037,1.1372884103
CDS,SATW20_06240,1,675907,676983,1077,1,0.9335756808,0.8852566796,0.9863884278
IG,,1,676984,677232,249,1,0.8990300103,0.7816309024,1.0195185684
CDS,SATW20_06250,1,677233,677916,684,1,0.8974852852,0.8418288397,0.9608499089
IG,,1,677917,678031,115,1,0.8279726555,0.7661836514,0.8897616597
CDS,SATW20_06260,-1,678032,678694,663,1,1.0539438707,0.9585946103,1.1705132405
CDS,SATW20_06270,-1,678687,679304,618,1,0.9345586877,0.8742680669,0.9901996859
IG,,1,679305,679370,66,1,0.9515506638,0.0123578008,0.9515506638
CDS,SATW20_06280,1,679371,679841,471,1,0.9968626002,0.9000392307,1.0978464293
IG,,1,679842,679987,146,1,1.0256974688,0.9021194605,1.1492754771
CDS,SATW20_06290,1,679988,680857,870,1,0.9960387468,0.9008589648,1.1134996437
IG,,1,680858,680877,20,1,0.865046058,0.0123578008,0.865046058
CDS,SATW20_06300,1,680878,681444,567,1,0.8738730586,0.8208934011,0.9144772613
IG,,1,681445,681874,430,1,1.0429983899,0.9515506638,1.114723066
CDS,SATW20_06310,1,681875,684646,2772,1,1.0580834296,0.9949904644,1.1181764321
IG,,1,684647,685012,366,1,1.0454699501,0.8675176182,1.1912919999
CDS,SATW20_06320,1,685013,689158,4146,1,1.0495303704,0.9977041076,1.0960221825
IG,,1,689159,689551,393,1,1.1072589543,0.9861525061,1.238251643
CDS,SATW20_06330,1,689552,692965,3414,1,1.0687732317,1.0203977376,1.1217846664
IG,,1,692966,693083,118,1,0.9886240663,0.9762662655,1.0009818671
CDS,SATW20_06340,1,693084,694556,1473,1,1.0650879589,0.9747215404,1.1454445588
IG,,1,694557,694679,123,1,0.8588671576,0.8156148547,0.9021194605
CDS,SATW20_06350,-1,694680,696170,1491,1,0.9917135165,0.9291135317,1.0620525741
IG,,1,696171,696451,281,1,0.9731768153,0.8897616597,1.0627708713
CDS,SATW20_06360,-1,696452,697330,879,1,0.9503148837,0.8835456859,1.0244616887
IG,,1,697331,697342,12,1,0.8032570539,0.0123578008,0.790899253
CDS,SATW20_06370,-1,697343,698008,666,1,0.9778109906,0.8557159184,1.102933724
IG,,1,698009,698021,13,1,0.8774038588,0.0247156017,0.8774038588
CDS,SATW20_06380,-1,698022,698381,360,1,0.9299245124,0.8681046137,0.9886240663
IG,,1,698382,698659,278,1,0.9577295642,0.8526882572,1.0874864729
CDS,SATW20_06390,1,698660,699418,759,1,0.9488044859,0.8540338844,1.0421882675
IG,,1,699419,699494,76,1,0.9762662655,0.0123578008,0.9639084646
CDS,SATW20_06400,1,699495,700127,633,1,0.9361034128,0.8403150091,1.0288178135
IG,,1,700128,700128,1,1,1.1122020746,0.0247156017,1.1122020746
CDS,SATW20_06410,1,700129,700677,549,1,0.9556699308,0.8382708229,1.0813693615
IG,,1,700678,700789,112,1,0.9021194605,0.8774038588,0.9268350622
CDS,SATW20_06420,1,700790,701437,648,1,1.0457788951,0.9453563162,1.1523803745
IG,,1,701438,701938,501,1,1.0421745366,0.9165368948,1.1987684694
CDS,SATW20_06430,1,701939,703339,1401,1,0.9408405698,0.8707883161,1.0232259086
IG,,1,703340,703882,543,1,0.8794634923,0.8053166873,0.9659680981
CDS,SATW20_06440,1,703883,705259,1377,1,0.968851585,0.9136451694,1.0191066417
IG,,1,705260,705260,1,1,1.0998442738,0.0123578008,1.0998442738
CDS,SATW20_06450,1,705261,706400,1140,1,0.9093281777,0.8156148547,0.9855964051
CDS,SATW20_06460,1,706375,706740,366,1,0.8823469792,0.7562232639,1.0726571119
IG,,1,706741,706742,2,1,0.9021194605,0.0123578008,0.8898852377
CDS,SATW20_06470,1,706743,707012,270,1,0.9175667115,0.8001676037,1.0009818671
IG,,1,707013,707212,200,1,0.9103579944,0.8403304564,1.0256974688
